Battle,Year,Place,Part of,Winner,Loser,Remarks
Battle of Cochin,1504,Kochi,,Portuguese Empire Kingdom of Cochin,Samoothiri of Kozhikode,
Battle of Cannanore,1506,Kannur,,Portuguese Empire,Delhi Sultanate (Participating factions: Gujarat Sultanate),
Battle of Chaul,1508,Chaul,,Samoothiri of Kozhikode Delhi Sultanate (Participating factions: Gujarat Sultanate),Portuguese Empire,
Portuguese conquest of Goa,1510,Goa,,Portuguese Empire,Bijapur Sultanate,
Battle of Khatoli,1517,Khatoli,,Rana Sanga,Ibrahim Lodhi,
Battle of Dholpur,1519,Dholpur,,Rana Sanga,Ibrahim Lodhi,
Battle of Gagron,1519,Gagron,,Rana Sanga,Mahmud Khilji of Malwa,
Siege of Mandsaur,1520,Mewar,,Rana Sanga,Sultan Muzaffar Shah II sent an army under Malik Ayaz,retreated to Gujarat.
Battle of Panipat,21 April 1526,Panipat,Mughal conquest of India,Babur,Ibrahim Lodhi,
Battle of Khanwa,17 March 1527,Khanwa,Mughal conquest of India,Babur,Rana Sanga,
Battle of Chanderi,1528,Chanderi,Mughal conquest of India,Babur,Medini Rai,
Battle of Ghaghra,1529,Ghaghra or Gogara,Mughal conquest of India,Babur,Afghans,
Battle of Chausa,1539,Chausal,Mughal conquest of India,Sher shah,Mughal emperor Humayun,Humayun escaped by crossing over the river.
Battle of Kanauj,1540,Kanauj or Billgram,Mughal conquest of India,Sher Shah Suri,Mughal emperor Humayun,Sher Shah Suri occupied the city of Agra .
Battle of Sammel,1544,Sammel,Mughal conquest of India,,,
Battle of Tughlaqabad,1556,Delhi,Mughal conquest of India,King 'Hem Chandra Vikramaditya',Akbar,
Battle of Panipat,1556,Panipat,Mughal conquest of India,Bairam Khan (for Akbar),Hem Chandra Vikramaditya (Hemu),
Battle of Talikota,1565,Bannihatti or Tallikota,,Unified Army of the five Deccan Sultanates defeated,Vijayanagara Army,Vijayanagara General Ramaraju was killed in the battlefield.
Battle of Haldighati,1576,Haldighati,Mughal conquest of India,Akbar,Rana of Mewar Pratap,
Battle of Bhuchar Mori,1591,Bhuchar Mor,Mughal conquest of India,Mirza Aziz Koka,army of Halar,
Battle of Dewar,1606,Kingdom of Mewar,Mughal Empire,Amar Singh I,Mughal Empire,
Battle of Swally,1612,Swally,,British East India Company,Portuguese,
Battle of Amritsar,1634,Amritsar,Mughal-Sikh Wars,Sikh Empire,Mughal Empire,
Battle of Kartarpur,1635,Kartarpur,Mughal-Sikh Wars,Sikh Empire,Mughal Empire,
Battle of Pratapgad,1659,Pratapgad,,Maratha Empire,Adilshahi Dynasty,Afzal Khan defeated by Shivaji.
Battle of Kolhapur,1659,Kolhapur,,Maratha Empire,Adilshahi Dynasty,
Battle of Pavan Khind,1660,Vishalgad,Imperial Maratha Conquests,Maratha Empire,Adilshahi Dynasty,"10,000-strong Adilshahi army defeated by 300 Marathas under the command of Baji Prabhu Deshpande."
Battle of Surat,1664,Surat,Imperial Maratha Conquests,Maratha Empire,Mughal Empire,Surat sacked by the Marathas.
Battle of Purandar,1665,Purandar,Imperial Maratha Conquests,Mughal Empire,Maratha Empire,Shivaji surrenders
Battle of Sinhagad,1670,Sinhagad,Imperial Maratha Conquests,Maratha Empire,Mughal Empire,
Battle of Saraighat,1671,"Modern Guwahati, Assam",,Ahom,Mughals,
Battle of Aravalli hills,1680,Aravalli hills,,Rajput rebbels under Durgadas Rathore,Mughals,
Battle of Athani,1690,"Athani, Karnataka",,Maratha Empire,Mughal Empire,One of the Marathas conquests war
Battle of Anandpur,1700,Anandpur,Mughal-Sikh Wars,Sikh Empire,Mughal Empire,
Battle of Chappar Chiri,1710,Sirhind,Mughal-Sikh Wars,Sikh Empire,Mughal Empire,
Battle of Rahon,1710,Rahon,Mughal-Sikh Wars,Sikh Empire,Mughal Empire,
Battle of Delhi,1737,Delhi,,Maratha Empire,Mughal Empire,Delhi looted
Battle of Colachel,1741,Colachel,,Kingdom of Travancore,Dutch East India Company,
Siege of Trichinopoly,1741,"Trichinopoly, Bengal Subah",Maratha invasions of Bengal,Maratha Empire,Mughal Empire,"First of the six Maratha invasions of Bengal, between August 1741 to May 1751."
Siege of Trichinopoly,1743,Trichinopoly,Maratha invasions of Bengal,Mughal Empire,Maratha Empire,
Battle of Madras,1746,Madras,War of the Austrian Succession,French East India Company,British East India Company,
Battle of Ambur,1749,Ambur,,"French East India Company, Chanda Sahib, Muzaffar Jung",Nawab of Arcot,
Siege of Arcot,1751,Arcot,Second Carnatic War,British East India Company,"Nawab of Arcot, French East India Company",
Battle of Arnee,1751,Arnee,Second Carnatic War,"British East India Company, Maratha","French East India Company, Nawab of Arcot",
Battle of Chingleput,1752,Chingleput,Second Carnatic War,"British East India Company, Nawab of Arcot",French East India Company,
Siege of Trichinopoly,1752,Trichinopoly,Second Carnatic War,British East India Company,French East India Company troops and Chanda Sahib,
Battle of Golden Rock,1753,Golden Rock,Second Carnatic War,British East India Company,French East India Company,
Battle of Seringham,1753,Srirangam Island,Second Carnatic War,British East India Company,French East India Company troops and Chanda Sahib,
Siege of Calcutta,1756,Calcutta,,Nawab of Bengal,British East India Company,
Battle of Bobbili,1757,Bobbili,,,,
Battle of Plassey,1757,Plassey,,Robert Clive,Siraj ud-Daulah,
Battle of Lahore,1759,Lahore,Indian Campaign of Ahmad Shah Durrani,Marathas and Sikhs,Durrani Empire,
Siege of Pondicherry,1760,Pondicherry,Third Carnatic War,British East India Company,French East India Company,
Third Battle of Panipat,1761,Panipat,,Ahmad Shah Abdali,Marathas,
Battle of Wandiwash,1760,Wandiwash,,British East India Company,French East India Company,
Battle of Sialkot,1761,Sialkot,Indian Campaign of Ahmad Shah Durrani,Sukerchakia misl,Durrani Empire,
Battle of Gujranwala,1761,Gujranwala,Indian Campaign of Ahmad Shah Durrani,Sukerchakia Misl,Durrani Empire,
Battle of Rakshasbhuvan,1763,Rakshasbhuvan,,Maratha Empire,Nizam of Hyderabad,
Battle of Buxar,1764,Buxar,,Hector Munro,"Combined armies of Nawab Mir Qasim(Bengal),Nawab Shuja-ud-daulah(Awadh)& Mughal emperor Shah Alam",
Siege of Ambur,1767,Ambur,First Anglo-Mysore War,Kingdom of Mysore Hyder Ali,British East India Company,
Battle of Maonda and Mandholi,1767,Maonda and Mandholi,,Jaipur,Bharatpur,
Battle of Maonda and Mandholi,1776,Maonda and Mandholi,Jaipur-Bharatpur,Jaipur,Bharatpur,
Battle of Saunshi,1777,Gajendragarh,Maratha-Mysore War,Kingdom of Mysore,Maratha Empire,
Siege of Pondicherry,1778,Pondicherry,American War of Independence,British East India Company,French East India Company,
Battle of Pollilur,1780,Pollilur,Second Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Siege of Negapatam,1781,Negapatam,Second Anglo-Mysore War,British,,
Battle of Pollilur,1781,Pollilur,Second Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Battle of Porto Novo,1781,Porto Novo,Second Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Battle of Sholinghur,1781,Sholinghur,Second Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Battle of Poona,1781,Pune,,Maratha Empire,British East India Company,
Siege of Tellicherry,1782,Tellicherry,Second Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Siege of Vellore,1782,Vellore,Second Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Siege of Cuddalore,1783,Cuddalore,Second Anglo-Mysore War,Kingdom of Mysore,British East India Company,
Siege of Mangalore,1783,Mangalore,Second Anglo-Mysore War,Kingdom of Mysore,British East India Company,Hyder Ali dies. Treaty of Mangalore signed.
Siege of Nargund,1785,Nargund,Maratha-Mysore War,Kingdom of Mysore,Maratha Empire,
Siege of Badami,1786,Badami,Maratha-Mysore War,Maratha Empire,Kingdom of Mysore,
Siege of Adoni,1786,Adoni,Maratha-Mysore War,Kingdom of Mysore,Maratha Empire,
Battle of Gajendragad,1786,Gajendragad,Maratha-Mysore War,Maratha Empire,Kingdom of Mysore,
Battle of Savanur,September - October 1786,Savanur,Maratha-Mysore War,Kingdom of Mysore,Maratha Empire,
Battle of Lalsot,1787,Lalsot,,Jaipur and Jodhpur,Mahadaji Shinde,
Siege of Bahadur Benda,January 1787,Bahadur Benda,Maratha-Mysore War,Kingdom of Mysore,Maratha Empire,
Battle of the Nedumkotta,1789,Nedumkotta,Third Anglo-Mysore War,Travancore,Kingdom of Mysore,
Battle of Calicut,1790,"Calicut, Malabar coast",Third Anglo-Mysore War,Travancore and British East India Company,Kingdom of Mysore,
Capture of Cannanore,1790,Cannanore,Third Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Battle of Sittimungulum,1790,Sittimungulum,Third Anglo-Mysore War,Kingdom of Mysore,British East India Company,
Siege of Bangalore,1791,Bangalore,Third Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Siege of Coimbatore,1791,Coimbatore,Third Anglo-Mysore War,Kingdom of Mysore,Travancore and British East India Company,
Siege of Darwar,1791,Darwar,Third Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Siege of Goorumconda,1791,Goorumconda,Third Anglo-Mysore War,Nizam of Hyderabad and British East India Company,Kingdom of Mysore,
Siege of Koppal,1791,Koppal,Third Anglo-Mysore War,Nizam of Hyderabad and British East India Company,Kingdom of Mysore,
Siege of Nundydroog,1791,Nundydroog,Third Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Siege of Savendroog,1791,Savendroog,Third Anglo-Mysore War,British East India Company,Kingdom of Mysore,
Battle of Arakere,1791,Arakere,Third Anglo-Mysore War,Nizam of Hyderabad and British East India Company,Kingdom of Mysore,
Capture of Hooly Honore,1791,Koodli,Third Anglo-Mysore War,Maratha Empire and British East India Company,Kingdom of Mysore,
Siege of Seringapatam,1792,Seringapatam,Third Anglo-Mysore War,"Maratha Empire, Nizam of Hyderabad and British East India Company",Kingdom of Mysore,Tipu sultan is defeated.Treaty of Seringapatam
Capture of Shimoga,1792,Shimoga,Third Anglo-Mysore War,Maratha Empire and British East India Company,Kingdom of Mysore,
Battle of Mallavelly,1799,Mallavelly,Fourth Anglo-Mysore War,British East India Company,Kingdom of Mysore,Tipu sultan is defeated and killed.
Battle of Seedaseer,1799,Seedaseer,Fourth Anglo-Mysore War,British East India Company,Kingdom of Mysore,Tipu Sultan is defeated and killed.
Siege of Seringapatam,1799,Seringapatam,Fourth Anglo-Mysore War,British East India Company,Kingdom of Mysore,Tipu Sultan is defeated and killed.
Battle of Sultanpet Tope,1799,Sultanpet Tope,Fourth Anglo-Mysore War,Kingdom of Mysore,British East India Company,Tipu Sultan is defeated and killed.
Battle of Malpura,1800,Malpura,,Sawai Pratap Singh,Daulat Rao Sindhia,
Battle of Panamarathukotta,1802,Wayanad,,Pazhassi Raja's forces,British East India Company,
Battle of Assaye,1803,Assaye,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Delhi,1803,Delhi,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Laswari,1803,Laswari,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Argaon,1803,Argaon,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Capture of Gawilghur,1803,Gawilghur,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Deeg,1804,Deeg,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Mukandwara Pass,1804,Mukandwara Pass,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Farrukhabad,1804,Farrukhabad,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Siege of Deeg Fort,1804,Deeg Fort,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Siege of Delhi,1804,Delhi,Second Anglo-Maratha War,British East India Company,Maratha Empire,
Battle of Bharatpur,1805,Bharatpur,Second Anglo-Maratha War,Maratha Empire,British East India Company,
Battle of Quilon,1809,Cantonment Maidan in Quilon,,British East India Company,Kingdom of Travancore,
Gurkha-Sikh War,1809,Kangra Fort,Sikh-Nepali War,Sikh,Gurkha army,
Kurichiya revolt,1812,Wayanad,,British East India Company,Kurichiya and Kurumba tribes,
Battle of Mahidpur,1817,Mahidpur,,British East India Company,Maratha Empire,
Battle of Khadki,1817,Khadki,,British East India Company,Maratha Empire,
Battle of Koregaon,1818,Koregaon Bhima (Pune),,British East India Company,Peshwa faction of the Maratha Confederacy,
Battle of Peshawar,1834,Peshawar,Afghan-Sikh Wars,Sikh,Emirate of Afghanistan,
Battle of Jamrud,1837,Jamrud,Afghan-Sikh Wars,Sikh,Emirate of Afghanistan,
First Anglo-Afghan War,1842,Afghanistan,,British East India Company,Dost Mohammad Khan (Emir of Afghanistan),
Gwalior Campaign,1843,Gwalior,,British East India Company,Maratha Empire,
Battle of Ferozeshah,1845,Ferozeshah,First Anglo-Sikh War,British East India Company,Sikh Empire,
Battle of Mudki,1845,Mudki,First Anglo-Sikh War,British East India Company,Sikh Empire,
Battle of Aliwal,1846,Aliwal,First Anglo-Sikh War,British East India Company,Sikh Empire,
Battle of Sobraon,1846,Sobraon,First Anglo-Sikh War,British East India Company,Sikh Empire,
Battle of Ramnagar,1848,Ramnagar,Second Anglo-Sikh War,Sikh Empire,British East India Company,
Battle of Chillianwala,1849,Chillianwala,Second Anglo-Sikh War,Sikh Empire,British East India Company,
Battle of Gujrat,1849,Gujrat,Second Anglo-Sikh War,British East India Company,Sikh Empire,
Siege of Multan,1849,Multan,Second Anglo-Sikh War,British East India Company,Multan,
Battle of Agra,1857,Agra,Indian rebellion of 1857,British East India Company,Indian rebels,
Battle of Aong,1857,Aong,Indian rebellion of 1857,British East India Company,"Rebel Company soldiers""",
Battle of Badli-ki-Serai,1857,Badli-ki-Serai,Indian rebellion of 1857,British East India Company,Indian rebels,
Second Battle of Cawnpore,1857,,Indian rebellion of 1857,British East India Company,Indian rebels,
Battle of Chinhat,1857,Chinhat,Indian rebellion of 1857,Indian rebels,,
Siege of Delhi,1857,Delhi,Indian rebellion of 1857,British East India Company,Mughal Empire and Indian rebels,
Siege of Lucknow,1857,Lucknow,Indian rebellion of 1857,,,
Battle of Najafgarh,1857,Najafgarh,Indian rebellion of 1857,British East India Company,Indian rebels,
Siege of Cawnpore,1857,Cawnpore,Indian rebellion of 1857,"""Nana Sahib's forces - Rebel Company soldiers""",British East India Company,
Battle of Kintoor,1858,Kintoor,Indian rebellion of 1857,British East India Company,Indian rebels,
Capture of Lucknow,1858,Lucknow,Indian rebellion of 1857,British East India Company,Oudh and Indian rebels,
Bhutan War,1865,Bhutan War,Mughal Empire Bhutan,British East India Company,
Hazara Expedition of 1888,1888,Hazara,,British India,Tribes of Kala Dhaka,
Chitral Expedition,1895,Chitral,,British East India Company,,
Battle of Saragarhi,1897,Saragarhi,Tirah Campaign War,British India,Pashtuns,
Siege of Malakand,1897,Malakand,Anglo-Afghan wars,British India,Pashtuns,
First Mohmand Campaign,1898,Peshawar,,British India,Mohmands,
Third Anglo-Afghan War,1919,North-West Frontier of India and Afghanistan,Anglo-Afghan wars,British India,Emirate of Afghanistan,It ended in an armistice.The Durand Line was established.
Second Mohmand Campaign,1935,Peshawar,,British India,Mohmands,
Arakan Campaign 1942–1943,1943,Arakan,Burma Campaign,Empire of Japan,UK and British India,
Battle of Imphal,1944,Imphal,Burma Campaign,UK and British India,Empire of Japan,
Battle of Pokoku and Irrawaddy River operations,1945,Pakokku,Burma Campaign,UK and British India,Empire of Japan,
Indian annexation of Hyderabad,13–18 September 1948,Hyderabad State,,Dominion of India,Hyderabad State,
Annexation of Portuguese India,18–19 December 1961,Goa,,India,Portugal,
Sino - Indian War,20 October–21 November 1962,Aksai Chin,,India,china,India Defeated by China [[1]],
Lahore Front,6–12 September 1965,"Lahore, Pakistan",Indo-Pakistani War of 1965,India,Pakistan,
Battle of Asal Uttar,8–10 September 1965,Asal Utta,Indo-Pakistani War of 1965,India,Pakistan,
Battle of Phillora,7–11 September 1965,"Phillora, Pakistan",Indo-Pakistani War of 1965,India,Pakistan,
Operation Dwarka,7 September 1965,Dwarka,Indo-Pakistani War of 1965,Pakistan,India,
Battle of Burki,8–11 September 1965,"Burki, Pakistan",Indo-Pakistani War of 1965,India,Pakistan,
Battle of Chawinda,14–19 September 1965,Chawinda,Indo-Pakistani War of 1965,India,Pakistan,
Defence of Kamalpur,14 November - 4 December 1971,"Kamalpur, East Pakistan",Indo-Pakistani War of 1971,India,Pakistan,
Battle of Atgram,21 November 1971,"Atgram, East Pakistan",Indo-Pakistani War of 1971,5 Gorkha Rifles of the Indian Army,31st Punjab regiment of the Pakistan Army,
Battle of Boyra,22 November 1971,Boyra,Indo-Pakistani War of 1971,Indian Air Force,Pakistani Air Force,
Battle of Hilli,22 November - 11 December 1971,"Hilli, East Pakistan",Indo-Pakistani War of 1971,India,Pakistan,
Operation Chengiz Khan,3 December 1971,India,Indo-Pakistani War of 1971,India,Pakistan,
Operation Cactus-Lilly,3–16 December 1971,East Pakistan,Indo-Pakistani War of 1971,India,Pakistan,
Battle of Gazipur,4–5 December 1971,"Gazipur, East Pakistan",Indo-Pakistani War of 1971,India,Pakistan,
Battle of Longewala,4–7 December 1971,Longewala,Indo-Pakistani War of 1971,India,Pakistan,
Battle of Basantar,4–11 December 1971,Barapind,Indo-Pakistani War of 1971,India,Pakistan,
Operation Trident,4–5 December 1971,"Arabian Sea, off Karachi port, Pakistan",Indo-Pakistani War of 1971,India,Pakistan,
Operation Python,8–9 December 1971,"Arabian Sea, 12 nmi off Karachi port, Pakistan",Indo-Pakistani War of 1971,India,Pakistan,
Operation Meghdoot,13 April 1984,"Siachen Glacier, Jammu and Kashmir",Siachen conflict,India,Pakistan,
Operation Bluestar,1–8 June 1984,Amritsar,Punjab insurgency,Indian Army,Sikh rebels led by Bhindranwale,
Operation Rajiv,23–26 June 1987,Jammu and Kashmir,Siachen conflict,India,Pakistan,
Battle of Tololing,1999,"Tololing, Jammu and Kashmir",Kargil War,India,Pakistan,
Atlantique incident,10 August 1999,Rann of Kutch,,Indian Air Force,A Breguet Atlantic patrol plane of the Pakistan Naval Air Arm,
